X,rating_review,review,lang$detectedLanguage,lang
263,1,Ini kenapa error? Gabisa login punya saya? Padahal ada isinya? Kalo gabisa balik kan saya rugi): ada kata bertanda error. ,MALAY,MALAY
288,1,Gue hapus apk nya...gue order rider gda yang accept padahal posisi rider pda deket... ,INDONESIAN,INDONESIAN
289,1,"Payah keseringan driver nya dicancel mulu,,, Gmna mau dapat uang kerja ,,, ",INDONESIAN,INDONESIAN
7,1,"Saya nunggu gocar se jam, akhiranya saya telat masuk ujian ",MALAY,MALAY
17,1,Masa driver gojek di banjarmasin gak berani mengganti uang sementara ,INDONESIAN,INDONESIAN
30,1,"Dear GO Jek,, saya sudah menggunakan layanan ini selama 2 tahun dan layanan ini sangat membantu. Tetapi ada 2 kejadian dimana saya memesan driver kenapa yang datang malah 2 driver?? Kelalaian sistem atau jaringankah?? Mohon tolong penjelasan tentang masalah ini, terima kasih ",INDONESIAN,INDONESIAN
32,1,"Kenapa selalu di reject waktu verify account nya, jd gk bisa trf ",MALAY,MALAY
38,1,Seharus nya kalau nge tip jangan pake uang nya go pay seharusnya dari aplikasinya ,INDONESIAN,INDONESIAN
39,1,Actually this application really helpful. Tapi wkt kmrn cari driver utk pick up nympe berkali2 ngga dpt2. Bisa ilang customer lama2 kl begini. Akhirnya saya lsg pake aplikasi satunya dan dy lbh cepet dbanding aplikasi ini. ,ENGLISH,ENGLISH
40,1,Susah nyari dan lama bgt. Udh 3 kali order pas udh dapet di cancel lagi  . Jelek pelayanannya nyesel download ,INDONESIAN,INDONESIAN
45,1,"Kebanyakan bug, nulis notes tombol next malah ilang. ",MALAY,MALAY
46,1,Versi terbarunya gojek nga bagus. Saya pesan go bluebird tarifny tertulis 33rb pakai go pay.Tnyt pas turun yang dipake argo dr taksi bluebirdnya 60rb. Kan sama aja spt tanpa pake aplikadi gojek. Tahu gt td mending naik grabcar aja yg hargany lbh murah. ,INDONESIAN,INDONESIAN
47,1,Jelek pelayanan ,INDONESIAN,INDONESIAN
49,1,"Gara-gara sistem baru yang random, bukan driver terdekat, tiap pesan bisa nunggu minimal 15 menit. Pindah ke sebelah aja ah ",MALAY,MALAY
76,1,Gak banget deh pkokx.. ,INDONESIAN,INDONESIAN
97,1,"Gocar sering tdk ada pengemudi, apalagi kalo hari libur ",INDONESIAN,INDONESIAN
109,1,GPS tidak berfungsi kesulitan melakukan Order. ,MALAY,MALAY
110,1,Petanya sering bermasalah ,MALAY,MALAY
123,1,Masa saya order beberapakali tapi sering di tuliskan error terus sampe di katakan dimohon menunggu 30 detik terus sampe ngk ada gunanya ni gojek ,MALAY,MALAY
133,1,"Aplikasi GoFood tdk bs berfungsi, aplikasi ydk menampilkan gbr menu sperti biasanya. Sy harap sgera d repair kmbli ",INDONESIAN,INDONESIAN
172,1,Dibilang kode vefrifikasi sudah dikirim. Padahal belum. No.Hp saya benar kok ,INDONESIAN,INDONESIAN
177,1,Lama dpt driver nya. PAYAH!!!! ,NORWEGIAN,ENGLISH
182,1,Ih ,ENGLISH,ENGLISH
186,1,Skrg gojek klo pake go-pay pada gakmau ngambil sombong2 ,INDONESIAN,INDONESIAN
192,1,"Tolong diperbaiki kualitas dari driver gojek, pantas aja ada banyak org komplain. Drivernya sendiri bobrok ",INDONESIAN,INDONESIAN
198,1,Jangan update trs tp ga ada peningkatan. Itu namanya PHP in pelanggan. ,MALAY,MALAY
202,1,"Driver nya menipu, padahal belum jemput tiba tiba status slsai dan gopay terpotong ",INDONESIAN,INDONESIAN
203,1,"Why app gojek nya aneh sendiri , udah dapat gojek terus tiba2 langsung keluar terus mencari driver lain lagi ? Dan mau gak mau harus cancel tiba2 ",MALAY,MALAY
205,1,"Saya sebenarnya pelanggan setia gojek,tp sekarang saya kecewa.awalnya saldo gopay saya 60000,pas beberapa hari berikutnya saya mau pakai gopay saya tiba2 jd 0 rupiah,lalu saya coba isi lagi 20000 transaksi saya berhasil tp gopay saya tetap 0 rupiah.lalu kemana uang saya'.laporan berkali jawabannya cm suruh nunggu 1x24 jam suruh laporan lagi.intinya tdk ada penyelesaian...uangpun lenyap.hati..hati klu isi gopay",MALAY,MALAY
210,1,Tolong di benerin lagi dong aplikasinya masa saya nulis alamat a keluarnya b bagaimana si aplikasinya masa kalah sama Ok-jek yg di tv ,MALAY,MALAY
217,1,"Susah cari driver,kebanyakan di cancel sama drivernya ",MALAY,MALAY
222,1,"Kecewa banget, gps pun gabisa tepat lokasi, masukkan order juga gabisa flexible dengan driver harus sesuai lokasi ",INDONESIAN,INDONESIAN
232,1,"Kecewa. Setiap pesan go food selalu history nya hilang.padahal saya sdh kirimkan pesan ke nomor aplikasi driver...kalau driver tdk membalas ga tau sudah di pesankan atau belum.atau di cancel...huhu,go food bikin orang kelaparan ",INDONESIAN,INDONESIAN
2,1,aplikasi nya error driver yg di pesan malah ga muncul di aplikasi ,MALAY,MALAY
4,1,"",Unknown,ENGLISH
17,1,"Saya top up saldo 100rb tapi tidak masuk ke gopay account saya. Kata CS sebenarnya uang sudah masuk ke sistem. Sudah urus telp CS, log out dan log in berkali-kali, dan kirim screenshot mutasi rekening, bukti pembayaran, saldo saat ini dan my accouny ke email gojek. Disuruh tunggu 2 x 24 jam tapi tidak ada tindaklanjut. Gojek jangan makan duit customer. Saya sangat kecewa dengan prlayanannya ",INDONESIAN,INDONESIAN
33,1,Sering ga bisa order! ,ENGLISH,ENGLISH
35,1,Setelah update versi terbaru. Malah susah dapet driver. Padahal cuma untuk jarak yang dekat dan ga macet! ,MALAY,MALAY
43,1,"1. Sometimes long search for drivers for Go-Food. 2. Driver location is not up-to-date in the map. 3. Prices do not match the ones listed on the Go-Food menu. Please fix it. ",ENGLISH,ENGLISH
49,1,Mau login aja susah. Kecewa lah pokoknya ,MALAY,MALAY
50,1,"harga di gojek ga sesuai sama yang asli,rugi jadi nya ",MALAY,MALAY
58,1,The gojek gps is eror not moving ,ENGLISH,ENGLISH
60,1,6-8x pesen dr stasiun juanda ga ada 1 pun yg pick up. Padahal dipengkolan banyak yg lg pada ngopi. Sampe jalan kaki dr istiqlal ke pecenongan ujung naik bis tau2 ada yg pick up nelepon padahal di aplikasi ga ada yg pick up. Kecewalah betis sampe bekonde begini. Barusan pula pesen drivernya ga bawa jas ujan. Indonesia cm 2 musim coy. Gw aja sbg penumpang bawa pribadi biar memudahkan. Tolong diperbaiki. Nanti ane update *5 makasih ,INDONESIAN,INDONESIAN
64,1,"Can't open in my nougat phone, please fix ",ENGLISH,ENGLISH
68,1,"DEAR GOJEK DRIVER AREA SURABAYA, APA GUNANYA KALIAN JADI DRIVER GOJEK KALO KALIAN GAK MAU NGAMBIL ORDERAN PAKE GO PAY? APLIKASI MODERN, OTAK PRIMITIF!!! ",ENGLISH,ENGLISH
70,1,Erorr.. sejak update aplikasi ga bisa dibuka loading terus.. walau sdh di uninstall berulang2.. ,MALAY,MALAY
82,1,Susah bgt dpat driver skrg ,NORWEGIAN,ENGLISH
85,1,Terlalu mencari driver nya!!!! ,INDONESIAN,INDONESIAN
86,1,"Jelek , lama Sangat buruk Saya tidak suka , karena pelayanan lama , jelek ",INDONESIAN,INDONESIAN
88,1,"The Go-food product is full of scams. I get extra charges so many times. Please state the food prices consistently, and include additional taxes to the price if any. Really dissatisfied with Gojek ",ENGLISH,ENGLISH
94,1,Bad ,ENGLISH,ENGLISH
105,1,Lately all I find just impolite driver talking harsh and lazy to pick address he didnt know but force me to cancel Thats suck. ,ENGLISH,ENGLISH
108,1,Saya sangat kecewa dengan pengemudi gosend untuk daerah sekitar saya kalau emang gak mau ambil barang nya ngomong nya sopan sedikit ini udah minta cancel malah nyolot lagi..tolong di perbaiki lagi sistem pelayanan nya supaya gak pada kecewa ,MALAY,MALAY
110,1,Nope ,ENGLISH,ENGLISH
113,1,Historynya sering ilang. Estimadi waktu kedatangan gojek ga tepat. ,MALAY,MALAY
116,1,Oke ,ENGLISH,ENGLISH
159,1,"Kayak nya error terus, mau daftar baru gabisa, pake yg lama gabisa juga ",INDONESIAN,INDONESIAN
160,1,APLIKASI TAI!!!! BAGUSAN YG DLU SKRNG SERING EROR MAU PESEN SLALU EROR PADAL KEADAANYA GENTING...APLIKASI TAI!!! ,ENGLISH,ENGLISH
170,1,"Saldo gopay saya tolong dikembalikan , udh di withdram sudah 5 hari belum di proses juga Kecewa lah sama gojek Kurang recomended ",INDONESIAN,INDONESIAN
200,1,App sampah gak bisa di install coeg padahal sinyal bagus habis''in Kuta aj lu njayy ,INDONESIAN,INDONESIAN
204,1,Goblok gue pesen hampir 40 x gx ad yg mau nyampeein ,INDONESIAN,INDONESIAN
214,1,Harga yg diminta sopir 120% lebih mahal dr harga yg tertera d aplikasi. Kinerja sangat buruk. Saya kecewa dan marah. ,INDONESIAN,INDONESIAN
220,1,Jelek bgt sekrg ,HUNGARIAN,ENGLISH
221,1,Saldo go pay saya terpotong tapi gojeknya gak muncul2. ,INDONESIAN,INDONESIAN
229,1,"JANGAN ISI GOPAY YA BRO/SIS, NTAR KALAU GOFOOD, DRIVERNYA PADA GAK MAU AMBIL. KAYAKNYA TAKUT GAK DAPAT TIPS. NYESEL BGT SY TERLANJUR ISI GOPAY. ",ENGLISH,ENGLISH
242,1,Susah driver..cancel mulu...no telepon gk bisa di perbarui... ,INDONESIAN,INDONESIAN
261,1,"Kenapa di daerah makassar. setiap saya pesan gofood, tidak ada yang terima orderanku. apa mungkin karena sedikitji uang tunai dia dapat. makanya tidak ada yang mau terima orderanku. tolong di perbaiki, percuma ada aplikasi gofood kalau tidak ada yang mau terima orderanku. ",MALAY,MALAY
270,1,pemesanan tidak pernah di reapon dan tidak berhasil ,INDONESIAN,INDONESIAN
274,1,"Sekarang qo klo mau go-food susah bgt cari driver nya , skli nya dpt kadang ganda gtu .. Tolong di benerin donk pelayanan nya makin hari bukan makin bagus mlh makin tidak memuaskan!!! ",MALAY,MALAY
279,1,Baik gojek maupun gocar kalau hujan selalu saja gak dpt. Dan lokasi selalu dpt yg jauh pdhl dulu gak begitu ,MALAY,MALAY
285,1,"Ko ngak bisa masuk ya . Gara""saya apdate os naughet ke hp saya . ",INDONESIAN,INDONESIAN
296,1,Terlalu lama mencari driver-_- kalau bukan karna sudah ngisi gopay pake aplikasi lain aja ,INDONESIAN,INDONESIAN
302,1,BANGKE... EROR MULU. SALDO GOPAY MASIH ADA.TEMEN UDH TRANSFER SALDO GOPAY JG GA MASUK. TAU TUH NYUNGSREP KEMANA SALDONYA. KOK BISA BISANYA GA MASUK. TIBA2 DI BLACKLIST TANPA SEBAB. PADAHAL AKU JARANG PAKE GOJEK. APALAGI UNTUK CANCEL2.DI BUTUHKAN DLM KEADAAN DARURAT KOK SUSAH. GMN INI CS NYA. UDAH LAPOR JUGA BLM JG DI TANGGEPIN. MINTA DI JELASIN ITU KESALAHAN SAYA DIMNA KOK BISA DI BLACKLIST. ,ENGLISH,ENGLISH
305,1,Sekarang jadi mahal... Malas ah... ,MALAY,MALAY
324,1,"Pesen goride lewat apl gojek dari Glodok ke Manggarai gak ada yang mau.. Katanya kejauhan, kalau gosend mau (harga 2x lipat). Udah nunggu 1 jam.. Akhirnya gue pesen UBER yang mau. Biaya 28 ribu, tapi saya kasih ke abang uber 50ribu ikhlas karena udah berguna banget. ",INDONESIAN,INDONESIAN
330,1,".Udah 2 kali naik Gojek, tapi malah kagak tau jalan gojeknya..malah di ajak muter""..udah panas bayar uang malah harus nukerin dulu..udah lah gua kecewa...gak mau pake gojek lagi.. ",MALAY,MALAY
339,1,Bikin batre hp jd cepet habis walaupun ga dibuka apknya ,MALAY,MALAY
365,1,Pesan go food lama sekali ,MALAY,MALAY
375,1,Says kurang suka pakai gojek. Drivernya ugal ugalan kalau berkendara. Tolong dikondisikan spy patuh tata tertib lalin ,MALAY,MALAY
11,2,"dulu gampang cari go points,sekali main dapat ratusan, sekarang dibawah 10 terus. . Peliiitttt!! Mana gua gapernah dapet Voucher Gopay gratis kayak yg laen..?? Males lah.. ",MALAY,MALAY
20,2,"Update app dengan nomor dan password lewat sms, gak bisa dienter otp, ehhhh kok malah diblokir?! Dicoba coba lagi saking bingungnya -___-; mendingan balik lagi ke versi dulu aja, email dan paswword aja..skrg ribet dah, kirim email ke cs gojek jga gak dibales, kapan jalaannyaaaaaa ini???? ",INDONESIAN,INDONESIAN
30,2,"Saya sudah 2 kali dikecewakan sama aplikasi gojek ini. Yang pertama pernah pesan gofood ga bisa malah tetap kurang go poin saya. Terus top up gopay via mbanking malah ga masuk tapi saldo mbanking saya tetep berkurang. Mengecewakan. Masih lebih bagus aplikasi ojek lainnya. Kalo komplain via email cuma dibales itu itu ajaa, komplain via cs nya ditelepon cuma disuruh tunggu tapi ga dilayani keluhan customer dengan baik. Payah ",MALAY,MALAY
48,2,"history gak bisa liat, abis liat detail order, gak bisa liat order berjalan. gak bisa nelpon driver yg ambil orderan......nunggu lama, entah driver ambil dan jalanin order apa gak..... ",MALAY,MALAY
68,2,"GPS sering salah, gak ada fitur chat/phone call ",INDONESIAN,INDONESIAN
92,2,"sangat kecewa krn driver marah2 dan mengganggap saya sdh menurunkan performa dia, pdhl saya order tp tdk ada satupun driver yg nyangkut di aplikasi shg saya cancel, selang beberapa menit ada tlp masuk dr driver.. anehnya di aplikasi saya tdk ada yg nyangkut bhkn sdh saya cancel.. sdh menunggu driver lama, eh si driver bawa penumpang lain dan malah nyalahin saya yg udh cancel dia shg menurunkan performa dia dan ngabisin pulsa dia.. sudah kecewa malah disalahin driver tolong diperbaiki aplikasinya jd g ada salah paham antara driver dan pengguna jasa gocar ",MALAY,MALAY
144,2,"Saat mau verifikasi kodenya,muncul""mohon maaf permintaan anda tidak dapat diproses""itu yg salah kitanya atau kodenya,padahal kodenya dah bener ",INDONESIAN,INDONESIAN
149,2,Order gak tepat waktu. Bikin telat naik kereta.. :( ,MALAY,MALAY
178,2,"Kalo order harus lama nunggu, Driver mobil biasa suka ngebatalin pesanan (saya di itc mau ke rasuna said,2x dibatalin) udah susah2 nungguin malah di cancel!! ",MALAY,MALAY
216,2,"Bintangnya saya turunin SENGAJA , untuk bos gojek tolong dong adain tes urine untuk para drivernya , karena saya sudah beberapa kali dapat driver yg saya duga pengguna narkoba karena saya sedikit paham tentang ciri<b2> orang yg sedang pakai narkoba, saya cuma menduga doang tapi tolong adain tes urine agar customer nyaman , trimakasih ",MALAY,MALAY
252,2,tolong.. besar kecil nya biaya kan sudah ada nominal perhitungannya sendiri ..untuk go.food mencari driver nya lama susah se kali bisa cancle spihak dr driver..#hanya karna biaya kirim murahhhhh .... ,INDONESIAN,INDONESIAN
280,2,Sakin ga jelas ,MALAY,MALAY
287,2,saya top up via atm transfer masuk ( setelah complain dan mnunggu 3 hr terlebih dahulu ) ,MALAY,MALAY
293,2,Tolong perbaiki sistemnya. Saya order makanan yg jumlahnya tidak banyak selalu ditolak. Buat apa go-food dan merchant biasa gabung kalau saya tidak bisa order dgn jumlah order yg sedikit. Apakah saya harus order makanan resto dgn jumlah banyak untuk saya makan sendiri? Supaya order saya diterima driver. ,MALAY,MALAY
23,2,"Drivernya ga profesional, pada jam2 tertentu mereka sulit dibooking, banyak dari mereka yang cancel booking. Go Jek dan Go Car harus berikan punishment yang lebih bagi driver yang cancel setelah di accept. Banyak dari kami pesan krn darurat. ",INDONESIAN,INDONESIAN
31,2,Error melulu parah!!! ,INDONESIAN,INDONESIAN
34,2,"go food saya error, GPS sudah nyala tapi dia tetap suruh nyalain, tolong di perbaiki ya ",MALAY,MALAY
37,2,"Gocar ga ada yang pick up. Kelamaan nunggu, sampai 15 menit belum juga dapat. Sekalinya dapat suka dicancel. ",INDONESIAN,INDONESIAN
41,2,"When choose 1 movie in gotix, always restart the page. Very annoying. Please fixed it. Thanks. No update for gotix. ",ENGLISH,ENGLISH
59,2,"Bilangnya go-bluebird sudah aktif dan harus update aplikasi, nyatanya pas udah diupdate malah blm ada. Buang kuota org dan php aja nih gojek. ",MALAY,MALAY
79,2,"Petanya kgk komplit set lokasi penjemputan di GOR Ciracas , kagak keluar ",MALAY,MALAY
86,2,"Sebelumnya saya suka sekali aplikasi ini & trus menjadi pelanggan setia gofood. Tapi sudah satu bulan ini ga pernah bisa order gofood, ga dapat2 driver trus. Padahal sebelumnya lancar aja ",MALAY,MALAY
104,2,Perbaiki buat go foodnya ,INDONESIAN,INDONESIAN
111,2,Ini gofood bisa d pesen atau tidak ko pesen gofood ga ada respon terus ,INDONESIAN,INDONESIAN
120,2,"Gojek skrng sangat mengecewakan jujur saja apk ini, kalah sma grab makanya saya udh gk pke ini, sejak sya comment dsini ",MALAY,MALAY
135,2,"Tadinya gpang pesen go food.. Pas di perbarui..alah ribet, gak jelas, susah,, pokoknya nyesel di perbarui.. Bikin males pesen go food pake gojek ",MALAY,MALAY
160,2,"Dari semua pengalaman saya memesan makanan via gojek, harga makanan yang tertera saat sedang diantarkan selalu lebih mahal dibandingkan sebelum kita menekan tombol ""mencari driver"". Tolong update harga yg tertera pada aplikasi. ",INDONESIAN,INDONESIAN
168,2,Di bogor susah sekali dapat driver gocar.. Akhirnya Batalin pesanan.. Susah kembali ke Home aplikasi.. Payah.. ,INDONESIAN,INDONESIAN
170,2,"Ehhh kalo kerja tuh yang bener... Huakn jya ada pelanggan , orderam nya ga di ambil"", trus udh nunggu lama di cancel sama driver nya ",MALAY,MALAY
178,2,Males upgrade terus ,ENGLISH,ENGLISH
181,2,Tolong dong untuk para gojek saya pesen gofodd dngan nominal diatas 100rb tdak da yg mw ngambil sdngkan ongkos ojek nya mahal tdk sprti biasa nya... ,INDONESIAN,INDONESIAN
195,2,"pada saat mau mengkonfirmasikan akun bank agar bisa di tarik via atm, tidak bisa di klik kolom kirim. mohon diperbaiki. membingungkan customer antara tidak bekerja sama dengan bank yg dipilih atau bagaimana saya bingung. makasih. ",INDONESIAN,INDONESIAN
254,2,Knpa ganti hp apl nya gak bsa d buka... Tolong dok bantuannya.... ,INDONESIAN,INDONESIAN
21,2,"Top up gopay gak masuk, bikin laporannya ribet pula. Sorry deh bintangnya gue kurangib ",INDONESIAN,INDONESIAN
23,2,"servicenya bad sekarang. lama banget dapet driver padahal liat d maps driverny banyak. terus sekaliny dapet driver, udah nunggu 15 menit lbih drivernya ngecancel padahal lg buru2. ",INDONESIAN,INDONESIAN
28,2,"Bukan driver sih, cuma kasian aja liat keluhan driver. Mereka disuruh kerja rodi. Tanpa driver bisa apa gojek? Jangan keterlaluan. Soal apliksi kenapa alamat saya ga terdaftar di lokasi map padahal tengah kota tp klo di search ga nemu nama jalannya kan ribet tiap mau order goride atau gofood. Sebel ",INDONESIAN,INDONESIAN
31,2,"Okay, saya mau komplain, salah satu karyawan gojek, pelayanannya kurang pantas, saya dimarahin, teman saya dimarahin, lalu teman saya marah ke saya, karena saya mengcancel order untuk KESELAMATANNYA DIA AGAR DIA TAK TERSESAT WALAUPUN SAYA UDAH SPESIFIK JIKA DATANG DARI ARAH MANA LALU SEHARUSNYA DIA KEMANA, SAYA BERTANYA DIA DI AREA MANA ATAU SEDANG BERADA DIMANA MALAH RESPONNYA MARAH KESAYA MENGATAKAN BAHWA SAYA DAN TEMAN SAYA KURANG EFISIEN DALAM MEMBERI ARAHAN JALAN. Sekian terimakasih ",INDONESIAN,INDONESIAN
51,2,"Tolong evaluasi lagi driver2 khususnya di surabaya, sering nggk mau nerima orderan hanya gara2 pake go-pay ",INDONESIAN,INDONESIAN
54,2,Money oriented ,ENGLISH,ENGLISH
92,2,"Bagus membantu, namun saya sekarang baru coba pake go pay gk ada driver yg pick up, Kemaren pake cash cepet dpt driver apa emang gitu ya? ",INDONESIAN,INDONESIAN
97,2,Driver gak ada yang mau ngambil yaampun apaan sih ini ,INDONESIAN,INDONESIAN
103,2,Ganti nomor ga bisa login lagi. Ngapa si ga bisa verifikasi lewat email saja?? ,INDONESIAN,INDONESIAN
109,2,"FOUND DRIVER NYA KELAMAAN. PLIS DEH, DARI PULUHAN ORANG DI SEMARANG GAK ADA YANG KE AKPOL ",ENGLISH,ENGLISH
124,2,"Jelek bangetttt,,, slalu mencari driver pdahal di liat ada driver terdekat. Sumpah menyebalkan!!! ",MALAY,MALAY
171,2,"Kenapa sy beri bintang 2? Krn aplk ini error. Masa token sy tdk bs berfungsi padahal sdh 10 token tersimpan. Sdh hubungi CS nya dikasih solusi yg tdk memuaskan. Di email sama jg. Jd token sy tdk terpakai dan poin sy tdk bisa bertambah. Apa krn putaran token saya rata2 diatas 20an poin? Sementara aplk yg sama milik istri sy bs dmainkan tokennya tp rata2 nilainya dibawah 20an? Gmn ini,apa aplk ini sy harus hapus dulu smentara poin sy msh ada 200 dan ada gopaynya ?? Sy tambah bintangnya jk ada solusi dari yg buat aplikasi ini. ",INDONESIAN,INDONESIAN
194,2,Driver gojek pilih pilih dalam ambil order. Ga mau yg jalan macet lah... kalau ga mau macet ya jgn jadi tkg ojek. Jd tkg sol sepatu aja. ,MALAY,MALAY
201,2,"Kenapa setelah di update aplikasinya, skrg klu setiap mau login mesti verifikasi nmr hape trs dikirim kode dr sms. Jadi tiap login selalu ganti kode, jd ribet. Klu yg lama lbh simple tinggal masukin email+password udh beres, itu aja yg dimasukin setiap mau masuk ke kolom login gak berubah2, gk mesti tiap mau masuk ganti kode gitu. Tolong konfirmasinya. Trims. ",INDONESIAN,INDONESIAN
207,2,"Sbenernya tarif yg tertera d hp cust & hp driver sm atau tidak ya? Soalnya sy sering order, d hp saya misal tagihannya 15rb tp driver nya bilang tagihan saya 20rb.. ",MALAY,MALAY
218,2,"Kasih bintang lima dehh... Walopun kdang"" klo pesen makanan sengaja ga bawa uang kembalian biar diksih smuaa... Krng suka sbnernya harusnya ada kembalian bilangnya pas.. Kejujuran itu penting ",INDONESIAN,INDONESIAN
238,2,eror terus ,INDONESIAN,INDONESIAN
246,2,Pembaruannya makin jelek..jadi males make.. ,MALAY,MALAY
254,2,Go food udh gabagus skg ,TAGALOG,ENGLISH
258,2,"Malas tiap pesan go food nyari drivernya susah, d cancel mulu jadi sebel!! ",MALAY,MALAY
262,2,Gak pernah bisa mesan karena gak dapat driver ,INDONESIAN,INDONESIAN
290,2,Sinting ni pembaruan trus tapi tetep aja ga ada yang berubah... ,INDONESIAN,INDONESIAN
304,2,"kalo pesen gojek / gosend dapet drivernya sangat jauh, padahal disekitar lokasi banyak driver... waktu pesan juga, dapet driver terlalu jauh saya cancel, tapi ada driver yang jemput.. saya tidak tau driver yg mana, soalnya banyak yang datang jemput, kasian drivernya,kasian juga saya yg nunggu lama.... ",MALAY,MALAY
322,2,Buat para wanita/ibu rmh tangga hati2 dgn driver'y gojek/tkg ojek online krn bisa2 ada unsur perselingkuhan.dgn tkg ojeknya sdh banyak yg terjadi lihat saja di jalan2 ,INDONESIAN,INDONESIAN
329,2,Poin nya jadi dapet kecil kecil trus ,INDONESIAN,INDONESIAN
340,2,"Semakin lama semakin menjengkelkan, terlalu lama menunggu jika order.... ",MALAY,MALAY
347,2,Tolong dong punya saya banyak resto yg tutup padahal aslinya gak tutup ,INDONESIAN,INDONESIAN
