"","X","rating_review","review","lang","tag","satisfaction_score","review_importance_percentage"
"30",30,2,"saya sudah 2 kali dikecewakan sama aplikasi gojek ini yang pertama pernah pesan gofood ga bisa malah tetap kurang go poin saya terus top up gopay via mbanking malah ga masuk tapi saldo mbanking saya tetep berkurang mengecewakan masih lebih bagus aplikasi ojek lainnya kalo komplain via email cuma dibales itu itu ajaa komplain via cs nya ditelepon cuma disuruh tunggu tapi ga dilayani keluhan customer dengan baik payah ","MALAY","Design & UI","Dissatisfied","90"
"31",31,1,"go food drivernya manja jauh dikit ga bisa anter ","INDONESIAN","Location Services","Dissatisfied","90"
"32",32,4,"recently gps tracking not accurate and also app crashes number of times during track the order delivery ","ENGLISH","Bug","Satisfied","90"
"33",33,5,"make a simple life ","ENGLISH","Satisfied Users","Satisfied","25"
"34",34,5,"merantau di jakarta jadi mudah mau kemana mana terima kasih ","MALAY","Satisfied Users","Satisfied","25"
"35",35,1,"baru pasang aplikasinya di hp trs coba pake gopay tapi sampai 5 hari saldo tidak bertambah n customer service sama sekali tidak membantu fiuh ","INDONESIAN","Design & UI","Dissatisfied","90"
"36",36,5,"best ","ENGLISH","Satisfied Users","Satisfied","25"
"37",37,5,"mantap ","INDONESIAN","Satisfied Users","Satisfied","25"
"38",38,5,"epic ","ENGLISH","Satisfied Users","Satisfied","25"
"39",39,5,"whoever makes this app you make people s life is getting easier more practical good to always know in advance how much to pay no cheat no scam keep it up ","ENGLISH","Satisfied Users","Satisfied","0"
"40",40,5,"pls fix the bug i can t see the restaurant menu ","ENGLISH","Bug","Satisfied","75"
"41",41,4,"low price and there s promo to get dicount like your competitor ","ENGLISH","Pricing","Satisfied","50"
"42",42,5,"easy and very cheap ","ENGLISH","Satisfied Users","Satisfied","50"
"43",43,1,"worst gopay gw kagak masuk2 dari kemarin udah email costumer service dia bilang cuman suruh nunggu fixxxx gw pindah ke ojek online yang lain lebih murah juga ","ENGLISH","Design & UI","Dissatisfied","90"
"44",44,3,"ngecrash molo bikin pusianggg ","ENGLISH","Bug","Neutral","75"
"45",45,5,"kie wekh aing makh ","ENGLISH","Satisfied Users","Satisfied","25"
"46",46,5,"1 stars by amalia v","ENGLISH","Satisfied Users","Satisfied","25"
"47",47,1,"bad app ever ","ENGLISH","Satisfied Users","Dissatisfied","25"
"48",48,2,"history gak bisa liat abis liat detail order gak bisa liat order berjalan gak bisa nelpon driver yg ambil orderan nunggu lama entah driver ambil dan jalanin order apa gak ","MALAY","Location Services","Dissatisfied","75"
"49",49,3,"drivernya banyak yang gak tau tempat dan jalan ","MALAY","Location Services","Neutral","75"
"50",50,3,"pelayanan offline terkait komplain sayangnya sangat buruk ","INDONESIAN","Customer Support","Neutral","75"
"51",51,1,"goblok gabisa setting pick up gocar dia malah kemana tau ","MALAY","Satisfied Users","Dissatisfied","25"
"52",52,4,"help me when i need ","ENGLISH","Customer Request","Satisfied","50"
"53",53,5,"3 stars by e februan","ENGLISH","Satisfied Users","Satisfied","25"
"54",54,3,"please reduce the app size or at least a lite version i only need go ride service ","ENGLISH","Customer Request","Neutral","90"
"55",55,5,"sedikit masukan buat layanan go food untuk update ke depan mungkin disediakan fitur dimana kita bisa set off atau semacamnya untuk restaurant yang udah closed agar gak muncul di pencarian suggestion either way sejauh ini gojek has been so helfpul maju terus buat gojek ","INDONESIAN","Design & UI","Satisfied","50"
"56",56,5,"semarang nya dong jgn di anak tiri kan go tik dan lain2 buat semarang ","MALAY","Satisfied Users","Satisfied","25"
"57",57,5,"satisfied ","ENGLISH","Satisfied Users","Satisfied","25"
"58",58,5,"i hope this application upgrade with chat menu between driver and customer so its more comfortable apps ","ENGLISH","Location Services","Satisfied","75"
"59",59,5,"awesome ","ENGLISH","Satisfied Users","Satisfied","25"
"60",60,5,"gojek sangat membantu ","MALAY","Satisfied Users","Satisfied","0"
"61",61,5,"5 stars by anggie herdian","ENGLISH","Satisfied Users","Satisfied","25"
"62",62,5,"mantab jeeewwaaaaa ","ENGLISH","Satisfied Users","Satisfied","25"
"63",63,3,"kalau nomor telepon diganti di profil kok drivernya malah nelpon ke nomor lama benerin dong bugnya fatal banget nih ","INDONESIAN","Bug","Neutral","90"
"64",64,5,"excellent ","ENGLISH","Satisfied Users","Satisfied","25"
"65",65,5,"i got my go pay decrease even i didn t do anything ","ENGLISH","Satisfied Users","Satisfied","25"
"66",66,5,"very helpful app in any circumstances hopefully give more promo for the loyal consumer like me ","ENGLISH","Customer Request","Satisfied","75"
"67",67,5,"app yang sangat revolusioner ","INDONESIAN","Satisfied Users","Satisfied","25"
"68",68,2,"gps sering salah gak ada fitur chat phone call ","INDONESIAN","Design & UI","Dissatisfied","90"
"69",69,5,"good ","ENGLISH","Satisfied Users","Satisfied","25"
"70",70,3,"ga ngerti sama driver nya setiap order pake voucher atau gopay kelipatan 100rb pasti di tolak driver tapi kalau pakai cash driver nya gesit jadi saya punya voucher tapi useless ","INDONESIAN","Design & UI","Neutral","90"
"71",71,5,"semua kebutuhan tinggal klik aja ","INDONESIAN","Satisfied Users","Satisfied","25"
"72",72,1,"i ve never even use this gojek thing i am really interested though ","ENGLISH","Design & UI","Dissatisfied","90"
"73",73,5,"bagus ","ENGLISH","Satisfied Users","Satisfied","25"
"74",74,1,"ga ada driver yg ambil orderannnnnnn payaaah udah berkali kali coba order tetep aja sekalinya ada yg ambil langsung cancel ilang balik nunggu driver lagi tapi ga adaaa ","MALAY","Location Services","Dissatisfied","90"
"75",75,4,"lumayan irit ongkos 1 3 dr biasanya ","INDONESIAN","Satisfied Users","Satisfied","50"
"76",76,5,"very good its so helpful and the reward by go points are good idea ","ENGLISH","Satisfied Users","Satisfied","50"
"77",77,3,"setiap kali saya order goride or gofood 1x dan sudah dipick up sama 1 driver kenapa ada beberapa driver lain bisa pick up orderan kasihan sama drivernya udah nyamperin ke rumah saya padahal saya sudah diantar oleh driver gojek yang lain sering kali seperti ini ","MALAY","Location Services","Neutral","90"
"78",78,4,"really helpful ","ENGLISH","Satisfied Users","Satisfied","0"
"79",79,5,"thankz gojek ","ENGLISH","Satisfied Users","Satisfied","25"
"80",80,5,"congratulation go jek ","ENGLISH","Satisfied Users","Satisfied","0"
"81",81,3,"lumayan ","ENGLISH","Satisfied Users","Neutral","0"
"82",82,1,"gojek terlalu lama ","MALAY","Satisfied Users","Dissatisfied","25"
"83",83,4,"bagus bgt ","INDONESIAN","Satisfied Users","Satisfied","25"
"84",84,5,"perbaiki amplikasinya dan perbaiki kesejatrahan draver ","INDONESIAN","Customer Request","Satisfied","50"
"85",85,5,"susah nulis alamat lengkap gak keluar ","MALAY","Disatisfied Users","Satisfied","50"
"86",86,5,"makasih yah gojek ","MALAY","Satisfied Users","Satisfied","0"
"87",87,5,"5 stars by andika saputra","ENGLISH","Satisfied Users","Satisfied","25"
"88",88,5,"bagus sangat membatu ","INDONESIAN","Satisfied Users","Satisfied","25"
"89",89,5,"promo terus lanjutkan y ","INDONESIAN","Satisfied Users","Satisfied","25"
"90",90,3," 3star first if the better plus the star again ","ENGLISH","Satisfied Users","Neutral","25"
"91",91,3,"biaya murah lengkap aman ","INDONESIAN","Satisfied Users","Neutral","50"
"92",92,2,"sangat kecewa krn driver marah2 dan mengganggap saya sdh menurunkan performa dia pdhl saya order tp tdk ada satupun driver yg nyangkut di aplikasi shg saya cancel selang beberapa menit ada tlp masuk dr driver anehnya di aplikasi saya tdk ada yg nyangkut bhkn sdh saya cancel sdh menunggu driver lama eh si driver bawa penumpang lain dan malah nyalahin saya yg udh cancel dia shg menurunkan performa dia dan ngabisin pulsa dia sudah kecewa malah disalahin driver tolong diperbaiki aplikasinya jd g ada salah paham antara driver dan pengguna jasa gocar ","MALAY","Customer Request","Dissatisfied","90"
"93",93,5,"dapet driver yg ramah banget itu menyenangkan tengkyoooo go car ","MALAY","Satisfied Users","Satisfied","50"
"94",94,3,"bagi pengguna baru uber masukkan kode dibawah maka anda dapat potongan 35 000 untuk 3x perjalanan bisa digunakan utk uber motor uber x uber xl maupun uber black ayo coba kodenya g6hkqvcpue ","INDONESIAN","Satisfied Users","Neutral","25"
"95",95,3,"untuk keperluan sewaktu2 ","MALAY","Satisfied Users","Neutral","25"
"96",96,4,"layanan go jek banyak membantu saya dimanapun terutama kalau sedang berada di luar kota ","INDONESIAN","Satisfied Users","Satisfied","0"
"97",97,5,"5 stars by aura maulidina","ENGLISH","Satisfied Users","Satisfied","25"
"98",98,5,"go fast go eco ","ENGLISH","Design & UI","Satisfied","0"
"99",99,4,"gooo ","ENGLISH","Satisfied Users","Satisfied","25"
"100",100,5,"simpel nyaman ","ENGLISH","Satisfied Users","Satisfied","25"
"101",101,1,"anjing ni aplikasi bikin error hp iklan nya muncul terus kalau pasang dara seluler hp gue jadi error gara gara iklannya kalau hp saya rusak gimana saya minwta ganti rugi ini saya tulis aja susah bisa sampai 1 jam saya mau coment gara gara iklan hp jadi lalot dan error kemarin aja hp ku hampir rusak kalau rusak beneran tanggung jawab anjingggggue gk bercanda hp gue masih baru gk sampai 1thn masa udah rusak ","INDONESIAN","Bug","Dissatisfied","90"
"102",102,5,"tambahkan fitur chat dong ","INDONESIAN","Design & UI","Satisfied","0"
"103",103,5,"aplikasi gojek memang keren saya suka banget sma gojek ","INDONESIAN","Design & UI","Satisfied","75"
"104",104,5,"4 stars by kholida zia","ENGLISH","Satisfied Users","Satisfied","25"
"105",105,4,"sangat membantu transportasi ","INDONESIAN","Satisfied Users","Satisfied","0"
"106",106,3,"lumayan aja lah tapi sangat membantu ketika tersesat heheh ","MALAY","Satisfied Users","Neutral","75"
"107",107,3,"baik ","INDONESIAN","Satisfied Users","Neutral","25"
"108",108,5,"bagus sekali saya bisa pesan taksi bluebird dan mobil biasa ohya saya mau sarankan ada go bus way go airplane jadi bisa pesan tiket pesawat ohya ada satu lagi go little jadi bisa jaga anak kecil gitu ya i love you go jek ","MALAY","Satisfied Users","Satisfied","0"
"109",109,1,"kok kode verifikasinya gak dikirim kan saya udh kasih no hp sya aplikasi macam apa ini ","INDONESIAN","Design & UI","Dissatisfied","90"
"110",110,5,"baik ","ENGLISH","Satisfied Users","Satisfied","25"
"111",111,4,"agak bagus sih ","INDONESIAN","Satisfied Users","Satisfied","0"
"112",112,5,"mantab membantu banget ","INDONESIAN","Satisfied Users","Satisfied","0"
"113",113,5,"mantap ","INDONESIAN","Satisfied Users","Satisfied","25"
"114",114,5,"go jek sangat membantu saya","MALAY","Satisfied Users","Satisfied","0"
"115",115,5,"ya membantu bngt buat order cm tolong driver go food ny jgn se enak ny batal in order an ","ENGLISH","Customer Request","Satisfied","75"
"116",116,3,"kenapa kalo hujan susah betul cari driver go food padahal itu keuntungan besar krn org sering kelaparan disaat hujan tlg untuk managernya lebih ditingkatkan ","MALAY","Disatisfied Users","Neutral","90"
"117",117,3,"aplikasinya g bisa d buka saat mau daftar akun ","INDONESIAN","Design & UI","Neutral","75"
"118",118,5,"1 stars by della ikhza fadhila","ENGLISH","Satisfied Users","Satisfied","25"
"119",119,1,"saya ingin mendaftar pas udah mau verifikasi kok malah ngirimnya ke nomor hp saya yg lama padahal daftarnya pake nomor hp yg baru dan di gmail saya udah ganti pake nomor baru juga itu gimana ya ","INDONESIAN","Satisfied Users","Dissatisfied","25"
"120",120,5,"yes ","ENGLISH","Satisfied Users","Satisfied","25"
"121",121,4,"coba dulu nanti kalo bagus aku tambah ","MALAY","Satisfied Users","Satisfied","0"
"122",122,5,"banyak membantu aktifitas sy dan keluarga hanya utk tarif go car knp jd mahal ya tlg di tingkatkan lg pelayanannya ","MALAY","Customer Support","Satisfied","90"
"123",123,5,"nice ","ENGLISH","Satisfied Users","Satisfied","25"
"124",124,5,"good job awesome ","ENGLISH","Satisfied Users","Satisfied","0"
"125",125,3,"setelah pembaruan aplikasi saya tidak bisa melakukan order tolong diperbaiki lgi ","INDONESIAN","Design & UI","Neutral","90"
"126",126,5,"lebih enak pesen maakanan disini restoran atau tempat makan nya lengkap biaya nganter nya murah juga good job jek ","INDONESIAN","Satisfied Users","Satisfied","50"
"127",127,5,"coba dulu sepertinya menarik ","MALAY","Satisfied Users","Satisfied","25"
"128",128,4,"menurut saya cukup baik driver jg siip ","INDONESIAN","Location Services","Satisfied","50"
"129",129,5,"saya sangat suka dengan tampilan fitur yang friendly dan sangat detail buat keterangannya ","INDONESIAN","Satisfied Users","Satisfied","50"
"130",130,5,"sangat membantu ketika saya pulang kerja yg cukup malam dng ada nya gojek saya merasa aman plng kerumah thanks gojek dan tolong buat para drivernya agar lebih d perhatikan kesejahteraan nya ","MALAY","Satisfied Users","Satisfied","90"
"131",131,5,"tolong donk diperbaiki toko buka tp pas beli driver telvon toko masih tutup makasih ","INDONESIAN","Customer Request","Satisfied","90"
"132",132,5,"good lahh ","ENGLISH","Satisfied Users","Satisfied","25"
"133",133,5,"gojek ","MALAY","Satisfied Users","Satisfied","25"
"134",134,5,"gojek is the best di jakarta ","INDONESIAN","Satisfied Users","Satisfied","0"
"135",135,4,"sangat membantu kebutuhan saya ","INDONESIAN","Satisfied Users","Satisfied","0"
"136",136,4," ok ","ENGLISH","Satisfied Users","Satisfied","25"
"137",137,5,"good aplication for my activity ","ENGLISH","Satisfied Users","Satisfied","0"
"138",138,3,"3 fulu ya ktna saya jg baru ","INDONESIAN","Satisfied Users","Neutral","25"
"139",139,3," 3 fulu ya ktna saya baru yours ","ENGLISH","Satisfied Users","Neutral","25"
"140",140,3,"saya beri nilai lumayan dulu kata orang pakai gojek lebih murah dari pada ojek biasanya jadi saya download dulu dan coba naik gojek apa reaksinya kalo reaksi bagus saya akan beri nilai yang penuh ","MALAY","Satisfied Users","Neutral","90"
"141",141,5,"nice tp masih belum semua wilayah terjangkau ","MALAY","Satisfied Users","Satisfied","25"
"142",142,5,"gojek luar biasa semoga berkah ","MALAY","Customer Request","Satisfied","50"
"143",143,5,"good job","ENGLISH","Satisfied Users","Satisfied","25"
"144",144,2,"saat mau verifikasi kodenya muncul mohon maaf permintaan anda tidak dapat diproses itu yg salah kitanya atau kodenya padahal kodenya dah bener ","INDONESIAN","Satisfied Users","Dissatisfied","25"
"145",145,5,"bagi pelangan setia gojek gopay klw mau beli pulsa gopay lngsng aja ke driver gojek di jamin lngsng masuk jngn beli di sembarang tempat ","INDONESIAN","Design & UI","Satisfied","75"
"146",146,5,"gojek sangat membantu sekali ","MALAY","Satisfied Users","Satisfied","0"
"147",147,1,"driver sulit gojek sudah tak seperti dulu ","MALAY","Location Services","Dissatisfied","90"
"148",148,5,"membantu skli ","INDONESIAN","Satisfied Users","Satisfied","25"
"149",149,2,"order gak tepat waktu bikin telat naik kereta ","MALAY","Satisfied Users","Dissatisfied","25"
"150",150,5," ","ENGLISH","Satisfied Users","Satisfied","25"
"151",151,3,"drivernya lama ","INDONESIAN","Location Services","Neutral","75"
"152",152,4,"sangat membantu jika ingin memesan makanan dan lain lain ","INDONESIAN","Satisfied Users","Satisfied","0"
"153",153,5,"4 stars by catur nugroho susanto","ENGLISH","Satisfied Users","Satisfied","25"
"154",154,4,"aplikasi yg sangat bermanfaat br tiga kali pakai bayar cash pertama kali pakai tanya2 aplikasi sama drivernya tp pas nyari drivernya dptnya malah yg jauh ckp memakan waktu kedua kalinya pesan plat nomor mtr driver yg dtg beda dg yg diaplikasi alhasil pelayanannya agak krg memuaskan ketiga kalinya pesan nah ini br saya merasa puas pelayanan ramah overall aplikasi ini sgt bermanfat semoga kedepannya lbh baik lg dan tingkatkan pelayanan karena pelayanan yg maksimal pasti memberikan hsl yg maksimal ","INDONESIAN","Satisfied Users","Satisfied","90"
"155",155,1,"dulu kalau hujan cari driver susah jaringan jelek bgt sekarang gak hujan jg fc mulu kadang hrga gak sesuai sama yg di totalkan ditambah fitur telfon donk supya lbih mudah hubungin gojek yang gak nyampe nyampe ","MALAY","Design & UI","Dissatisfied","90"
"156",156,5,"saya senang gojek nya ramah ","MALAY","Satisfied Users","Satisfied","0"
"157",157,1,"aplikasi apaan nih pesan go food ga d ambil2 dasar aplikasi indo ","INDONESIAN","Design & UI","Dissatisfied","90"
"158",158,1,"saya verifikasi akun gopay di tolak terus mksdnya apa gak niat aplikasinya kah kalau gak niat gak usah biat fiturnya ","MALAY","Design & UI","Dissatisfied","90"
"159",159,5,"5 stars by irma b s","ENGLISH","Satisfied Users","Satisfied","25"
"160",160,5,"memuaskan ","INDONESIAN","Satisfied Users","Satisfied","25"
"161",161,1,"go car di bali susah amat padahal saya di kute ","MALAY","Disatisfied Users","Dissatisfied","90"
"162",162,4,"baguztt ","ENGLISH","Satisfied Users","Satisfied","25"
"163",163,5,"5 stars by nay shila","ENGLISH","Satisfied Users","Satisfied","25"
"164",164,5,"suka ","ENGLISH","Satisfied Users","Satisfied","25"
"165",165,5,"gojek makin mantap ","MALAY","Satisfied Users","Satisfied","25"
"166",166,5,"keren ","INDONESIAN","Satisfied Users","Satisfied","25"
"167",167,5,"price go car very competitive compare with normal t which can not reach the location ","ENGLISH","Customer Request","Satisfied","75"
"168",168,4,"sampai saat ini sy cukup puas dgn layanan dari gojek sy psn go send pun aman dpt dipercaya ","INDONESIAN","Satisfied Users","Satisfied","50"
"169",169,1,"kecewa ","ENGLISH","Disatisfied Users","Dissatisfied","75"
"170",170,5,"tq ","ENGLISH","Satisfied Users","Satisfied","25"
"171",171,1,"coba pakai gambar menu menunya jd enk tau bentuk nya ","MALAY","Satisfied Users","Dissatisfied","25"
"172",172,4,"after updated app kenapa poin saya berkurang ","INDONESIAN","Disatisfied Users","Satisfied","50"
"173",173,5,"harus indonesia banget ","INDONESIAN","Design & UI","Satisfied","0"
"174",174,1,"setiap kali pesan go good sllu nggak dpt driver mulu ","MALAY","Satisfied Users","Dissatisfied","90"
"175",175,5,"baguuuss baru prtama x coba go car ternyata murah sangat dibanding taxi lainnya gue like nih ","INDONESIAN","Pricing","Satisfied","50"
"176",176,4,"belum nyoba ","INDONESIAN","Satisfied Users","Satisfied","25"
"177",177,5,"ngojek ","MALAY","Satisfied Users","Satisfied","25"
"178",178,2,"kalo order harus lama nunggu driver mobil biasa suka ngebatalin pesanan saya di itc mau ke rasuna said 2x dibatalin udah susah2 nungguin malah di cancel ","MALAY","Disatisfied Users","Dissatisfied","90"
"179",179,5,"good job ","ENGLISH","Satisfied Users","Satisfied","25"
"180",180,5,"sangat baik ","INDONESIAN","Satisfied Users","Satisfied","25"
"181",181,1,"setiap order gofood selalu dicancel driver cari driver jangan yang suka php dong ","MALAY","Location Services","Dissatisfied","90"
"182",182,5,"bagus cepat dan mudah semoga di tempat terpencil juga ada ","INDONESIAN","Customer Request","Satisfied","50"
"183",183,3,"kalo harga msh lbh murah yg lain ","MALAY","Pricing","Neutral","75"
"184",184,5,"jangan malas jemput pelanggan ","MALAY","Satisfied Users","Satisfied","25"
"185",185,5,"yess ","ENGLISH","Satisfied Users","Satisfied","25"
"186",186,4,"untuk penjemputan bandara kedatangan di makassar tidak bisa dibooking alasan driver karna takut dengan taksi konvensional ","MALAY","Design & UI","Satisfied","75"
"187",187,5,"pokoknya keren bet dah ","INDONESIAN","Satisfied Users","Satisfied","0"
"188",188,5,"wow ","ENGLISH","Satisfied Users","Satisfied","25"
"189",189,5,"kok banyak driver ya yang gak mau ambil orderan nya padahal jaraknya deket tolong bisa di perbaiki lagi ","INDONESIAN","Customer Request","Satisfied","90"
"190",190,5,"gyyy ","ENGLISH","Satisfied Users","Satisfied","25"
"191",191,5,"speed simple and sophisticated ","ENGLISH","Satisfied Users","Satisfied","25"
"192",192,5,"keren it s cool ","ENGLISH","Satisfied Users","Satisfied","25"
"193",193,5,"5 stars by aditya kalamullah","ENGLISH","Satisfied Users","Satisfied","25"
"194",194,5,"enak ","MALAY","Satisfied Users","Satisfied","25"
"195",195,4,"selama saya menggunakan go ride go send dan go food lancar dan selalu tepat waktu semoga kedepannya bisa menjadi lebih baik lagi dan bermanfaat aamiin ","MALAY","Satisfied Users","Satisfied","75"
"196",196,5,"selalu bisa diandalkan ","INDONESIAN","Satisfied Users","Satisfied","25"
"197",197,1,"parah sih mengecewakan pakai tarik dari aplikasi gojek kalo emg belom bisa gausah dibuat deh","MALAY","Design & UI","Dissatisfied","90"
"198",198,5,"thank you go jek pekanbaru ","INDONESIAN","Satisfied Users","Satisfied","25"
"199",199,5,"mantap soul ","INDONESIAN","Satisfied Users","Satisfied","25"
"200",200,5,"goooddddd ","ENGLISH","Satisfied Users","Satisfied","25"
"201",201,5,"sangat bagus ","INDONESIAN","Satisfied Users","Satisfied","25"
"202",202,5,"bagus banget buat kebutuhan ","INDONESIAN","Satisfied Users","Satisfied","0"
"203",203,1,"masa seblak 11ribu jadi 110ribu ","MALAY","Satisfied Users","Dissatisfied","25"
"204",204,5,"sangat bagus buat yg ada keperluan mendadak ","INDONESIAN","Satisfied Users","Satisfied","0"
"205",205,5,"cool ","ENGLISH","Satisfied Users","Satisfied","25"
"206",206,1,"aplikasi kontoooolllllllll ","INDONESIAN","Design & UI","Dissatisfied","90"
"207",207,5,"bagus","ENGLISH","Satisfied Users","Satisfied","25"
"208",208,5,"mantep gk ribet ","ENGLISH","Satisfied Users","Satisfied","25"
"209",209,5,"murah cepat singap ramah ","MALAY","Satisfied Users","Satisfied","50"
"210",210,5,"saya suka sekali ","MALAY","Satisfied Users","Satisfied","25"
"211",211,5,"saya mau ke mana mana jadi lebih cepat bayarnya murah ","MALAY","Pricing","Satisfied","50"
"212",212,5,"hampir sempurna hanya saja menurut saya seharusnya diberikan fitur chat agar mempermudah komunikasi driver dengan pelanggannya u 200b ","MALAY","Design & UI","Satisfied","75"
"213",213,4,"boleh lah dari pada nyari sendiri ","MALAY","Satisfied Users","Satisfied","25"
"214",214,5,"terima ksih go jek ","ENGLISH","Satisfied Users","Satisfied","25"
"215",215,5,"is your rhe best ","ENGLISH","Satisfied Users","Satisfied","25"
"216",216,2,"bintangnya saya turunin sengaja untuk bos gojek tolong dong adain tes urine untuk para drivernya karena saya sudah beberapa kali dapat driver yg saya duga pengguna narkoba karena saya sedikit paham tentang ciri b2 orang yg sedang pakai narkoba saya cuma menduga doang tapi tolong adain tes urine agar customer nyaman trimakasih ","MALAY","Satisfied Users","Dissatisfied","90"
"217",217,4,"sangat terbantu ","INDONESIAN","Satisfied Users","Satisfied","25"
"218",218,5,"gojek its my life ","ENGLISH","Satisfied Users","Satisfied","25"
"219",219,5,"mantab jiwa penyelamat ","INDONESIAN","Satisfied Users","Satisfied","25"
"220",220,4,"susah untuk set lokasinya ","MALAY","Disatisfied Users","Satisfied","50"
"221",221,5,"aplikasi yang sangat membantu dan sangat bagus tolong dong di kasih chat juga kasihan juga kalok ndak punya pulsa ","MALAY","Satisfied Users","Satisfied","90"
"222",222,1,"makanya jgn pake pay pay apalah tau kenapa driver jarang ngambil transferan dari kantor ngaret ngga grab uber gojek maunya pada pake pay semua lu kira bensin pake aer ngotak dikit ","INDONESIAN","Location Services","Dissatisfied","90"
"223",223,5,"ak pesen go food disitu jumlah udh semua pesenan sampai tempat pesenan itu habis dan abang gojek bli kurangan pesanan di tempat lain tp nominal harga yg tertera di abang gojek ttp sama tdk di kurangi dgn pesanan yg tdk ada jd sangat merugikan custemer barang tdk ada tp harga hrs ttp di bayar paraaaah bgt kan itu dzalim namanya tolong di perbaiki lagi lah ","MALAY","Customer Request","Satisfied","90"
"224",224,4,"5 stars by rosalina gaib monoarfa","ENGLISH","Satisfied Users","Satisfied","25"
"225",225,5,"ok bangat ","INDONESIAN","Satisfied Users","Satisfied","25"
"226",226,3,"jangan error trus lahh malu sama tetangga sebelah ","MALAY","Bug","Neutral","75"
"227",227,5,"mohon kerjasamanya agar kami pelanggan tidak kecewa ","INDONESIAN","Satisfied Users","Satisfied","50"
"228",228,5,"cobacoba maklum org jadul ","MALAY","Satisfied Users","Satisfied","25"
"229",229,1,"saya lg pesen gojek lama menunggu blom ada driver yg datang apa saya pakai gopay jd gk ada yg datang tak cancel lalu pesen lagi eh udah nyantol gojek satu tp saya blom di jemput udah di selesaikan trpaksa saya pulang naik gojek lain dgn offline karna udah malem kasihan juga anak saya tlg perbaiki gojek masa gk di anter udah di selesaiin rugi gopay saya ","MALAY","Customer Request","Dissatisfied","90"
"230",230,5,"sangat membantu jika on time ","MALAY","Satisfied Users","Satisfied","0"
